[A] device=cuda seed=42 params=411,357 train=720 val=80
/root/autodl-tmp/test_model/irstd_a/model.py:137: UserWarning: Plan failed with a cudnnException: CUDNN_BACKEND_EXECUTION_PLAN_DESCRIPTOR: cudnnFinalize Descriptor Failed cudnn_status: CUDNN_STATUS_NOT_SUPPORTED (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:919.)
  F.conv2d(
/root/miniconda3/lib/python3.12/site-packages/torch/autograd/graph.py:744: UserWarning: Plan failed with a cudnnException: CUDNN_BACKEND_EXECUTION_PLAN_DESCRIPTOR: cudnnFinalize Descriptor Failed cudnn_status: CUDNN_STATUS_NOT_SUPPORTED (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:919.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
[A] epoch 30/150 loss=-2.19217 presence=0.2201 amplitude=1.1762 sparse=0.9503 val_score=0.20255 best=0.11952 centroid=1.000 falseS=0.024 massX=1.437 outsideT=0.027 recall=1.051 precision=0.976 bad=6 lr=1.84e-04 peak_mb=7362 elapsed=1146.3s
[A] epoch 31/150 loss=-2.12594 presence=0.1917 amplitude=1.1603 sparse=0.9690 val_score=0.17590 best=0.11952 centroid=1.000 falseS=0.016 massX=1.835 outsideT=0.026 recall=1.453 precision=0.985 bad=7 lr=1.82e-04 peak_mb=7362 elapsed=1184.5s
[A] epoch 32/150 loss=-2.17610 presence=0.2227 amplitude=1.1429 sparse=0.9504 val_score=0.20917 best=0.11952 centroid=1.000 falseS=0.019 massX=0.749 outsideT=0.014 recall=0.700 precision=0.983 bad=8 lr=1.81e-04 peak_mb=7362 elapsed=1221.8s
[A] epoch 33/150 loss=-2.16103 presence=0.2031 amplitude=1.1888 sparse=0.9567 val_score=0.22047 best=0.11952 centroid=1.000 falseS=0.014 massX=1.151 outsideT=0.014 recall=1.074 precision=0.988 bad=9 lr=1.80e-04 peak_mb=7362 elapsed=1259.7s
[A] epoch 34/150 loss=-2.17397 presence=0.2094 amplitude=1.1676 sparse=0.9606 val_score=0.27722 best=0.11952 centroid=1.000 falseS=0.011 massX=1.515 outsideT=0.014 recall=1.314 precision=0.990 bad=10 lr=1.79e-04 peak_mb=7362 elapsed=1297.3s
[A] epoch 35/150 loss=-2.24263 presence=0.2111 amplitude=1.2129 sparse=0.9592 val_score=0.22366 best=0.11952 centroid=1.000 falseS=0.025 massX=1.163 outsideT=0.022 recall=0.945 precision=0.973 bad=11 lr=1.77e-04 peak_mb=7362 elapsed=1336.1s
[A] epoch 36/150 loss=-2.23618 presence=0.1989 amplitude=1.1640 sparse=0.9473 val_score=0.19030 best=0.11952 centroid=1.000 falseS=0.020 massX=1.480 outsideT=0.024 recall=1.185 precision=0.984 bad=12 lr=1.76e-04 peak_mb=7362 elapsed=1373.6s
[A] epoch 37/150 loss=-2.32761 presence=0.1962 amplitude=1.1424 sparse=0.9238 val_score=0.18563 best=0.11952 centroid=1.000 falseS=0.022 massX=1.125 outsideT=0.021 recall=0.988 precision=0.980 bad=13 lr=1.75e-04 peak_mb=7362 elapsed=1411.3s
[A] epoch 38/150 loss=-2.30418 presence=0.1573 amplitude=1.1570 sparse=0.9417 val_score=0.14408 best=0.11952 centroid=1.000 falseS=0.029 massX=1.239 outsideT=0.032 recall=1.014 precision=0.972 bad=14 lr=1.73e-04 peak_mb=7362 elapsed=1448.5s
[A] epoch 39/150 loss=-2.26865 presence=0.1598 amplitude=1.1154 sparse=0.9396 val_score=0.26210 best=0.11952 centroid=1.000 falseS=0.013 massX=0.849 outsideT=0.006 recall=0.833 precision=0.990 bad=15 lr=1.72e-04 peak_mb=7362 elapsed=1487.0s
[A] epoch 40/150 loss=-2.31908 presence=0.1787 amplitude=1.1416 sparse=0.9454 val_score=0.43100 best=0.11952 centroid=1.000 falseS=0.025 massX=2.012 outsideT=0.036 recall=1.543 precision=0.979 bad=16 lr=1.70e-04 peak_mb=7362 elapsed=1525.2s
