[A] device=cuda seed=42 params=411,357 train=720 val=80
/root/autodl-tmp/test_model/irstd_a/model.py:137: UserWarning: Plan failed with a cudnnException: CUDNN_BACKEND_EXECUTION_PLAN_DESCRIPTOR: cudnnFinalize Descriptor Failed cudnn_status: CUDNN_STATUS_NOT_SUPPORTED (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:919.)
  F.conv2d(
/root/miniconda3/lib/python3.12/site-packages/torch/autograd/graph.py:744: UserWarning: Plan failed with a cudnnException: CUDNN_BACKEND_EXECUTION_PLAN_DESCRIPTOR: cudnnFinalize Descriptor Failed cudnn_status: CUDNN_STATUS_NOT_SUPPORTED (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:919.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
[A] epoch 33/150 loss=-2.15355 presence=0.2116 amplitude=1.1731 sparse=0.9611 val_score=0.27858 best=0.16923 centroid=1.000 falseS=0.006 massX=1.259 outsideT=0.007 recall=1.195 precision=0.994 bad=4 lr=1.80e-04 peak_mb=7354 elapsed=1334.4s
[A] epoch 34/150 loss=-2.11556 presence=0.2229 amplitude=1.1463 sparse=0.9698 val_score=0.28236 best=0.16923 centroid=1.000 falseS=0.013 massX=1.481 outsideT=0.018 recall=1.264 precision=0.987 bad=5 lr=1.79e-04 peak_mb=7354 elapsed=1374.5s
[A] epoch 35/150 loss=-2.25391 presence=0.1675 amplitude=1.1716 sparse=0.9558 val_score=0.21031 best=0.16923 centroid=1.000 falseS=0.026 massX=1.362 outsideT=0.021 recall=1.005 precision=0.978 bad=6 lr=1.77e-04 peak_mb=7354 elapsed=1414.5s
[A] epoch 36/150 loss=-2.07322 presence=0.1960 amplitude=1.1879 sparse=0.9563 val_score=0.29037 best=0.16923 centroid=1.000 falseS=0.026 massX=1.210 outsideT=0.019 recall=0.936 precision=0.982 bad=7 lr=1.76e-04 peak_mb=7354 elapsed=1454.9s
[A] epoch 37/150 loss=-2.32210 presence=0.1982 amplitude=1.1522 sparse=0.9299 val_score=0.23828 best=0.16923 centroid=1.000 falseS=0.012 massX=1.134 outsideT=0.011 recall=0.947 precision=0.988 bad=8 lr=1.75e-04 peak_mb=7354 elapsed=1495.2s
[A] epoch 38/150 loss=-2.12596 presence=0.1916 amplitude=1.1506 sparse=0.9442 val_score=0.22693 best=0.16923 centroid=1.000 falseS=0.017 massX=1.250 outsideT=0.015 recall=1.086 precision=0.985 bad=9 lr=1.73e-04 peak_mb=7354 elapsed=1535.5s
[A] epoch 39/150 loss=-2.23049 presence=0.1729 amplitude=1.1603 sparse=0.9308 val_score=0.26894 best=0.16923 centroid=1.000 falseS=0.009 massX=0.896 outsideT=0.007 recall=0.900 precision=0.992 bad=10 lr=1.72e-04 peak_mb=7354 elapsed=1575.8s
[A] epoch 40/150 loss=-2.31307 presence=0.1852 amplitude=1.1191 sparse=0.9386 val_score=0.45932 best=0.16923 centroid=1.000 falseS=0.011 massX=1.433 outsideT=0.011 recall=1.335 precision=0.992 bad=11 lr=1.70e-04 peak_mb=7354 elapsed=1616.2s
[A] epoch 41/150 loss=-2.07472 presence=0.2094 amplitude=1.1493 sparse=0.9312 val_score=0.27557 best=0.16923 centroid=1.000 falseS=0.009 massX=0.966 outsideT=0.008 recall=0.940 precision=0.992 bad=12 lr=1.69e-04 peak_mb=7354 elapsed=1656.6s
[A] epoch 42/150 loss=-2.38539 presence=0.1541 amplitude=1.1421 sparse=0.9296 val_score=0.32030 best=0.16923 centroid=1.000 falseS=0.010 massX=1.250 outsideT=0.010 recall=1.158 precision=0.991 bad=13 lr=1.67e-04 peak_mb=7354 elapsed=1696.4s
[A] epoch 43/150 loss=-2.43676 presence=0.1781 amplitude=1.1299 sparse=0.9161 val_score=0.25611 best=0.16923 centroid=1.000 falseS=0.015 massX=1.401 outsideT=0.014 recall=1.254 precision=0.990 bad=14 lr=1.65e-04 peak_mb=7354 elapsed=1736.0s
[A] epoch 44/150 loss=-2.35218 presence=0.1812 amplitude=1.1083 sparse=0.9281 val_score=0.24518 best=0.16923 centroid=1.000 falseS=0.004 massX=1.101 outsideT=0.004 recall=1.049 precision=0.996 bad=15 lr=1.64e-04 peak_mb=7354 elapsed=1776.7s
[A] epoch 45/150 loss=-2.42026 presence=0.1355 amplitude=1.0989 sparse=0.9257 val_score=0.29914 best=0.16923 centroid=1.000 falseS=0.016 massX=1.038 outsideT=0.016 recall=0.875 precision=0.986 bad=16 lr=1.62e-04 peak_mb=7354 elapsed=1817.0s
[A] epoch 46/150 loss=-2.39760 presence=0.1579 amplitude=1.0977 sparse=0.9018 val_score=0.26260 best=0.16923 centroid=1.000 falseS=0.009 massX=1.236 outsideT=0.009 recall=1.107 precision=0.993 bad=17 lr=1.60e-04 peak_mb=7354 elapsed=1857.2s
[A] epoch 47/150 loss=-2.43078 presence=0.1583 amplitude=1.1217 sparse=0.9387 val_score=0.21757 best=0.16923 centroid=1.000 falseS=0.007 massX=1.205 outsideT=0.009 recall=1.136 precision=0.993 bad=18 lr=1.59e-04 peak_mb=7354 elapsed=1897.7s
[A] epoch 48/150 loss=-2.36800 presence=0.1495 amplitude=1.1203 sparse=0.9082 val_score=0.27700 best=0.16923 centroid=1.000 falseS=0.004 massX=1.394 outsideT=0.006 recall=1.343 precision=0.996 bad=19 lr=1.57e-04 peak_mb=7354 elapsed=1938.4s
[A] epoch 49/150 loss=-2.53075 presence=0.1486 amplitude=1.0755 sparse=0.9028 val_score=0.20268 best=0.16923 centroid=1.000 falseS=0.009 massX=1.024 outsideT=0.009 recall=1.053 precision=0.991 bad=20 lr=1.55e-04 peak_mb=7354 elapsed=1978.6s
[A] early stop at epoch 49 after 20 non-improving epochs
[A] complete best_validation_score=0.169227
