[A] device=cuda seed=42 params=411,357 train=720 val=80
[A] epoch 37/150 loss=6.67724 rec=2.2169 bg=0.0122 sp=3.8969 ctr=0.1857 psf=-0.0995 ind=0.0006 flip=0.1670 amp=0.2975 val_score=1.14148 best=0.51357 centroid=1.000 falseS=0.856 massX=11.001 outsideT=14.316 recall=1.255 precision=0.094 bad=12 lr=1.75e-04 peak_mb=13830 elapsed=1985.2s
[A] epoch 38/150 loss=6.71215 rec=2.2409 bg=0.0110 sp=3.9062 ctr=0.1768 psf=-0.0994 ind=0.0006 flip=0.1738 amp=0.3022 val_score=1.24746 best=0.51357 centroid=1.000 falseS=0.862 massX=18.235 outsideT=22.346 recall=1.890 precision=0.099 bad=13 lr=1.73e-04 peak_mb=13830 elapsed=2038.2s
[A] epoch 39/150 loss=6.94109 rec=2.2838 bg=0.0116 sp=4.0789 ctr=0.1971 psf=-0.0995 ind=0.0007 flip=0.1663 amp=0.3022 val_score=1.25625 best=0.51357 centroid=1.000 falseS=0.869 massX=19.724 outsideT=23.290 recall=1.961 precision=0.096 bad=14 lr=1.72e-04 peak_mb=13830 elapsed=2094.1s
[A] epoch 40/150 loss=7.30085 rec=2.4673 bg=0.0130 sp=4.2820 ctr=0.1939 psf=-0.0996 ind=0.0009 flip=0.1500 amp=0.2934 val_score=1.28465 best=0.51357 centroid=1.000 falseS=0.862 massX=21.915 outsideT=25.529 recall=2.214 precision=0.101 bad=15 lr=1.70e-04 peak_mb=13830 elapsed=2150.1s
[A] epoch 41/150 loss=7.00826 rec=2.3713 bg=0.0124 sp=4.0895 ctr=0.1759 psf=-0.0996 ind=0.0008 flip=0.1668 amp=0.2911 val_score=1.27231 best=0.51357 centroid=1.000 falseS=0.850 massX=17.198 outsideT=21.001 recall=2.171 precision=0.107 bad=16 lr=1.69e-04 peak_mb=13830 elapsed=2205.8s
[A] epoch 42/150 loss=7.09305 rec=2.4035 bg=0.0120 sp=4.1751 ctr=0.1524 psf=-0.0996 ind=0.0008 flip=0.1590 amp=0.2899 val_score=1.29369 best=0.51357 centroid=1.000 falseS=0.865 massX=22.157 outsideT=25.763 recall=2.236 precision=0.101 bad=17 lr=1.67e-04 peak_mb=13830 elapsed=2260.9s
[A] epoch 43/150 loss=6.57979 rec=2.1844 bg=0.0104 sp=3.8114 ctr=0.2377 psf=-0.0996 ind=0.0006 flip=0.1534 amp=0.2816 val_score=1.01096 best=0.51357 centroid=1.000 falseS=0.565 massX=4.449 outsideT=7.124 recall=1.495 precision=0.198 bad=18 lr=1.65e-04 peak_mb=13830 elapsed=2316.0s
[A] epoch 44/150 loss=4.87150 rec=1.5443 bg=0.0091 sp=2.6411 ctr=0.2399 psf=-0.0997 ind=0.0003 flip=0.1946 amp=0.3419 val_score=0.86826 best=0.51357 centroid=1.000 falseS=0.364 massX=2.460 outsideT=4.626 recall=1.280 precision=0.244 bad=19 lr=1.64e-04 peak_mb=13830 elapsed=2370.6s
[A] epoch 45/150 loss=4.70358 rec=1.4820 bg=0.0085 sp=2.5382 ctr=0.2395 psf=-0.0996 ind=0.0002 flip=0.1927 amp=0.3421 val_score=0.88234 best=0.51357 centroid=1.000 falseS=0.384 massX=2.538 outsideT=4.847 recall=1.275 precision=0.242 bad=20 lr=1.62e-04 peak_mb=13830 elapsed=2424.7s
[A] early stop at epoch 45 after 20 non-improving epochs
[A] complete best_validation_score=0.513566
